date,estimated_usd,official_usd,index_krw,gap_pct,is_rebalance
2026-03-16,4784.642907201143,4789.487249605947,6110.743500441519,0.10114532417227438,N
2026-03-17,4822.787995364309,4830.027031357789,6156.302911186927,0.14987568281674166,N
2026-03-18,4743.93887863482,4750.814895302225,6137.859485310981,0.14473341561263325,N
2026-03-19,4687.183585922112,4693.099222097133,5987.785400059187,0.1260496719772661,N
2026-03-20,4554.610159097298,4559.844485058775,5879.846744047619,0.1147917649083981,N
2026-03-23,4654.8823834979585,4660.584842275524,5936.581408346471,0.12235500415826916,N
2026-03-24,4614.021622049683,4615.535986714482,5914.935314229171,0.03281015832521833,N
2026-03-25,4650.45772902939,4651.61839197087,5995.438738344311,0.024951809105481528,N
2026-03-26,4468.097293688626,4468.866692537397,5770.244797128321,0.01721686731125053,N
2026-03-27,4348.197907411995,4348.086012055689,5617.419816553207,0.002573439347706809,N
2026-03-30,4266.385551550614,4265.770422717158,5544.832944931808,0.014420111081928281,N
2026-03-31,4486.641831504296,4486.211358031647,5789.5857068941605,0.009595479086773252,N
2026-04-01,4569.419746386928,4567.7528118200635,5919.229574336115,0.03649353709663748,N
2026-04-02,4519.402701155564,4517.558286353434,5843.466054320472,0.040827692421843954,N
2026-04-03,4519.402701155564,4517.558286353434,5845.845630827124,0.040827692421843954,N
2026-04-06,4519.034295299925,4517.139033618953,5837.932906899277,0.04195712522608784,N
2026-04-07,4508.484687845129,4506.53286556413,5776.750156948298,0.043310951883071755,N
2026-04-08,4605.758158707217,4602.06210807261,5828.098816007092,0.08031292381135674,N
2026-04-09,4624.735845217343,4618.561701749091,5832.993110195322,0.1336810866013441,N
2026-04-10,4662.770877877842,4656.221746152279,5921.811498406061,0.14065334691105852,N
2026-04-13,4732.664021722266,4728.297539732217,5990.394501136809,0.09234786841049687,N
2026-04-14,4910.564220817994,4908.363709627348,6190.169044585659,0.044831869046915704,N
2026-04-15,5109.238012680436,5108.853291893001,6454.873972102726,0.007530472406509829,N
2026-04-16,5116.432406009439,5116.350348795726,6483.693182855415,0.0016038231965878138,N
2026-04-17,5228.019749458525,5227.147567167208,6568.228157239613,0.016685625957758347,N
2026-04-20,5189.423463381028,5188.410323686356,6541.838147724122,0.01952697707903741,N
2026-04-21,5129.460606504855,5126.281588919366,6514.060447929296,0.062014103797186346,N
2026-04-22,5242.139958949367,5240.611652139739,6637.303152187978,0.029162756393211968,N
2026-04-23,5136.316213816243,5132.215953860738,6512.81000195127,0.07989258426314873,N
