date,index_point_usd,index_point_krw,daily_return,phase
2021-01-11,1833.2594548330328,1723.0654189460704,-0.021693162004263508,1A
2021-01-18,1941.1235477115708,1835.7513094934416,0.05883733074125165,1A
2021-01-25,1893.0255444564368,1787.8484511431263,-0.02477843479454859,1A
2021-02-01,2002.3160596852542,1916.3709525120669,0.05773324905670998,1A
2021-02-08,2029.735009139196,1942.369620735782,0.013693617109704384,1A
2021-02-15,1955.9053225626612,1846.5980301775046,-0.036374051905349834,1A
2021-02-22,1791.2242397188782,1706.876104548314,-0.08419685807082675,1A
2021-03-01,1681.1171186426086,1603.3217523057522,-0.06147031657719755,1A
2021-03-08,1831.9819702435138,1791.6098299728933,0.08974083359683993,1A
2021-03-15,1784.623787646874,1731.5693050770506,-0.02585079076424803,1A
2021-03-22,1727.2429162276828,1666.5003469890069,-0.032152923107032605,1A
2021-03-29,1799.7235543197303,1745.7731582791066,0.04196319892881429,1A
2021-04-05,1850.878586052605,1783.4656806157222,0.028423827431769324,1A
2021-04-12,1904.2022074877216,1835.1651734655256,0.028809897006178302,1A
2021-04-19,1901.081500736675,1816.3228609058763,-0.0016388526065012601,1A
2021-04-26,1883.4719554557225,1791.3196588239364,-0.009262909177817365,1A
2021-05-03,1815.678638984821,1742.495387802333,-0.03599380191169256,1A
2021-05-10,1712.790773242114,1638.4073958077713,-0.056666341462404145,1A
2021-05-17,1711.9949408372659,1667.0454693656786,-0.0004646407589771278,1A
2021-05-24,1795.964426281424,1728.4288665364124,0.04904774157982729,1A
2021-05-31,1808.3473756142614,1716.230944625997,0.00689487450398814,1A
2021-06-07,1834.7636725762836,1745.5602398843514,0.014607977050343461,1A
2021-06-14,1843.320008538264,1764.0179049813785,0.00466345398585634,1A
2021-06-21,1915.0339262097314,1856.0112671304062,0.03890475736133073,1A
2021-06-28,1946.3013499437498,1884.0479120787584,0.016327347158754276,1A
2021-07-05,1930.2343845733078,1869.1230806353926,-0.008255127280729857,1A
2021-07-12,1875.4125378426613,1842.427854858833,-0.02840165275719362,1A
2021-07-19,1916.5221888432666,1890.8412905215932,0.02192032428656742,1A
2021-07-26,1936.857133250959,1912.2308663840652,0.010610336017015144,1A
2021-08-02,1966.3823102572612,1937.4059770084552,0.015243858981351553,1A
2021-08-09,1987.2228219460353,1952.3397052447235,0.010598402752131898,1A
2021-08-16,1931.1392059922773,1927.657545068116,-0.028222107422677778,1A
2021-08-23,2000.880461199776,2004.265074333893,0.036114048635693057,1A
