date,index_point,weekly_return,component_count,core_count,satellite_count,top3_contributors,satellite_method,phase
2020-10-12,1431.3424868253974,0.006454498650260184,67,45,22,"TSLA(+0.31%), AAPL(+0.23%), GOOGL(+0.15%)",SYMMETRIC,1
2020-10-19,1399.798553237956,-0.0220380054932927,67,46,21,"GOOGL(+0.17%), META(+0.11%), HAS(+0.10%)",SYMMETRIC,1
2020-10-26,1312.373193951841,-0.06245567198500543,65,46,19,"NIO(+0.14%), SQQQ(+0.07%), UVXY(+0.05%)",SYMMETRIC,1
2020-11-02,1445.8571594972861,0.10171189579352494,66,45,21,"TSLA(+2.52%), AAPL(+1.19%), NVDA(+1.05%)",SYMMETRIC,1
2020-11-09,1430.2903226729193,-0.010766510870118899,67,45,22,"BA(+0.31%), NIO(+0.24%), DAL(+0.14%)",SYMMETRIC,1
2020-11-16,1506.0071127685717,0.0529380566276595,66,44,22,"TSLA(+4.46%), NIO(+0.40%), FCEL(+0.27%)",SYMMETRIC,1
2020-11-23,1629.5292876511865,0.082019649067618,64,44,20,"TSLA(+4.18%), XPEV(+0.51%), NIO(+0.36%)",SYMMETRIC,1
2020-11-30,1644.0423524516261,0.008906292700856633,63,44,19,"AAPL(+0.56%), TSLA(+0.54%), MRNA(+0.18%)",SYMMETRIC,1
2020-12-07,1632.2894592162386,-0.007148777656403622,62,45,17,"TSLA(+0.48%), DIS(+0.14%), PLTR(+0.05%)",SYMMETRIC,1
2020-12-14,1718.614531605896,0.052885884854704315,64,45,19,"TSLA(+4.19%), AAPL(+0.36%), NIO(+0.25%)",SYMMETRIC,1
2020-12-21,1698.5690565784141,-0.011663741146626461,64,45,19,"AAPL(+0.43%), QS(+0.22%), FCEL(+0.11%)",SYMMETRIC,1
2020-12-28,1730.0668980994426,0.018543750929077535,64,46,18,"TSLA(+2.14%), AMZN(+0.19%), NIO(+0.15%)",SYMMETRIC,1
