date,index_point_usd,index_point_krw,daily_return,phase
2021-02-15,2094.3624653194897,1977.3173876685796,0.0,1A
2021-02-22,2094.3624653194897,1995.73965506283,0.0,1A
2021-03-01,1965.6213415489008,1874.6602593913353,-0.06147031657719756,1A
2021-03-08,2142.0178392752377,2094.8133110243966,0.08974083359683996,1A
2021-03-15,2086.644984298847,2024.6118147786397,-0.02585079076424804,1A
2021-03-22,2019.5532485670105,1948.5308973506608,-0.03215292310703261,1A
2021-03-29,2104.300163283961,2041.219460180961,0.04196319892881433,1A
2021-04-05,2164.1124279897886,2085.2908847712256,0.028423827431769345,1A
2021-04-12,2226.460284149965,2145.7397525900724,0.028809897006178285,1A
2021-04-19,2222.8114439100145,2123.7086571472482,-0.0016388526065012595,1A
2021-04-26,2202.221743385663,2094.474032697642,-0.00926290917781736,1A
2021-05-03,2122.9554101886174,2037.386975501341,-0.03599380191169256,1A
2021-05-10,2002.655294005411,1915.6836294378134,-0.05666634146240416,1A
2021-05-17,2001.7247787296346,1949.1682736318608,-0.0004646407589771289,1A
2021-05-24,2099.904858390703,2020.9399034353742,0.04904774157982728,1A
2021-05-31,2099.904858390703,1992.9366156855854,0.0,1A
2021-06-07,2099.904858390703,1997.8106625578994,0.0,1A
2021-06-14,2109.6976680724842,2018.935639682268,0.004663453985856342,1A
2021-06-21,2191.7749439546096,2124.2229368986928,0.03890475736133074,1A
2021-06-28,2227.560814358416,2156.3111495769786,0.016327347158754286,1A
2021-07-05,2227.560814358416,2157.0361428188303,0.0,1A
2021-07-12,2227.560814358416,2188.382561144149,0.0,1A
2021-07-19,2276.389669777203,2245.886640910451,0.02192032428656743,1A
2021-07-26,2300.5429290792013,2271.2925609763365,0.010610336017015136,1A
2021-08-02,2335.6120810706298,2301.1948298331604,0.015243858981351546,1A
2021-08-09,2360.3658385785616,2318.9326806580543,0.010598402752131902,1A
2021-08-16,2293.751340325379,2289.6159240971892,-0.028222107422677754,1A
2021-08-23,2376.5879877880757,2380.608133455863,0.03611404863569303,1A
2021-08-30,2425.697481209422,2422.601889336626,0.020663865034112976,1A
2021-09-06,2425.697481209422,2404.204932267088,0.0,1A
2021-09-13,2425.697481209422,2437.9032545333675,0.0,1A
2021-09-20,2442.540069436696,2484.0768068023694,0.006943400138617529,1A
2021-09-27,2370.5567362878755,2392.2104308239254,-0.029470686704198487,1A
2021-10-04,2372.6846335108044,2407.0182068459353,0.0008976360659735377,1A
2021-10-11,2467.9473989177113,2527.5344327108273,0.040149779731134705,1A
2021-10-18,2588.1222029190244,2628.6211859668597,0.04869423232197501,1A
2021-10-25,2823.338018024614,2824.7163648935325,0.09088280871757153,1A
2021-11-01,2986.7963518747765,3012.3778753243187,0.05789541769586931,1A
2021-11-08,2845.6799671677377,2878.315253371767,-0.04724673800356749,1A
2021-11-15,2994.5636789073424,3035.600558264735,0.05231920435796108,1A
2021-11-22,2869.425565576223,2925.9755349687243,-0.04178842955070498,1A
2021-11-29,2748.7687641019133,2803.870799906331,-0.04204911356537664,1A
2021-12-06,2802.3031264194483,2833.744911814713,0.019475760572034057,1A
2021-12-13,2666.6254719520525,2706.6970262236955,-0.048416480425782296,1A
2021-12-20,2837.875948333582,2891.3978473214756,0.06421992071356351,1A
2021-12-27,2818.729970487668,2864.672304362056,-0.006746587304901963,1A
2022-01-03,2709.1386959260694,2769.3283716363735,-0.038879664142726804,1A
2022-01-10,2725.420740766324,2796.79158179285,0.006010044766160872,1A
2022-01-17,2725.420740766324,2780.089754563257,0.0,1A
2022-01-24,2725.420740766324,2791.072577360634,0.0,1A
2022-01-31,2858.663796385265,2949.7201074849672,0.04888898569894796,1A
2022-02-07,2753.2419340729507,2822.476220263281,-0.03687802057927149,1A
2022-02-14,2712.8489972723887,2782.2873921158957,-0.014671045177932275,1A
2022-02-21,2712.8489972723887,2775.6769777498334,0.0,1A
2022-02-28,2712.8489972723887,2790.965739271342,0.0,1A
2022-03-07,2591.1811988656323,2734.759659639051,-0.044848717539784214,1A
2022-03-14,2882.8375246494793,3066.6629843347664,0.11255728696685832,1A
2022-03-21,3032.999488127439,3163.4052696752797,0.052088250619055414,1A
2022-03-28,3091.927194849539,3240.9146764198517,0.019428854819385832,1A
2022-04-04,2916.7935130856777,3034.0338429780268,-0.05664223984820691,1A
2022-04-11,2816.369021903921,2978.805461945555,-0.03442975676242435,1A
2022-04-18,2736.6207617604637,2895.746788273806,-0.028315983993299952,1A
2022-04-25,2534.5081317174318,2713.9551106379336,-0.07385481863881395,1A
2022-05-02,2504.9630249334487,2719.670769906054,-0.01165713631542496,1A
2022-05-09,2348.277406467927,2564.3782200774604,-0.06255007235872646,1A
2022-05-16,2175.3097164813407,2385.9825266076964,-0.07365726447402536,1A
2022-05-23,2392.5204888736325,2579.629541803719,0.09985280291196418,1A
2022-05-30,2392.5204888736325,2533.4823961243237,0.0,1A
2022-06-06,2392.5204888736325,2571.2894493119275,0.0,1A
2022-06-13,2248.428699538935,2487.8379426841952,-0.060225937460010655,1A
2022-06-20,2248.428699538935,2489.1281952011464,0.0,1A
2022-06-27,2248.428699538935,2477.7277550513722,0.0,1A
2022-07-04,2248.428699538935,2496.311242795514,0.0,1A
2022-07-11,2248.428699538935,2524.966403171974,0.0,1A
2022-07-18,2395.2741639033998,2706.366847974721,0.06531026062537679,1A
2022-07-25,2540.296527357327,2853.4059806205364,0.06054520423565821,1A
2022-08-01,2576.989260834503,2886.399689018138,0.014444271793477313,1A
2022-08-08,2661.9658857264108,2964.1718350164138,0.032975156778258914,1A
2022-08-15,2582.7233056290297,2902.2345549567362,-0.029768443135309845,1A
2022-08-22,2449.7655932743414,2819.4041596582024,-0.051479657950546945,1A
2022-08-29,2306.6340043061796,2659.1209334989485,-0.05842664676209,1A
