date,index_point,weekly_return,fx_rate,fx_return,index_point_krw,weekly_return_krw,component_count,core_count,satellite_count,top3_contributors,satellite_method,phase
2022-09-26,1668.9320348633305,-0.0311318452598941,1430.1700439453125,0.018886346494233264,2061.526917930956,-0.012833465582244075,69,49,20,"SQQQ(+0.52%), SOXS(+0.30%), LABU(+0.06%)",SYMMETRIC,1
2022-10-03,1595.746806890823,-0.0438515328627509,1408.449951171875,-0.015187070142736125,1941.1901767185009,-0.05837262670003396,69,50,20,"SOXL(+0.18%), AAPL(+0.12%), GOOGL(+0.12%)",SYMMETRIC,1
2022-10-10,1521.8704566451772,-0.0462957844732195,1430.300048828125,0.015513577630550612,1880.0418706791088,-0.0315004200890614,71,50,22,"SOXS(+0.70%), SQQQ(+0.60%), FNGD(+0.03%)",SYMMETRIC,1
2022-10-17,1599.9526001647755,0.0513066951123576,1430.31005859375,6.99836767337203e-06,1976.5144380144538,0.05131405254314747,71,48,23,"TQQQ(+1.30%), TSLA(+1.20%), SOXL(+1.19%)",SYMMETRIC,1
2022-10-24,1644.655275114358,0.0279399995630985,1420.6500244140625,-0.006753804268974428,2018.0162880790385,0.020997494005799533,71,49,22,"TSLA(+1.68%), SOXL(+0.55%), AAPL(+0.53%)",SYMMETRIC,1
2022-10-31,1552.6364344074152,-0.055950229874491,1423.6500244140625,0.0021117093924925,1909.130846932699,-0.05395667110793656,69,48,21,"SQQQ(+1.21%), BOIL(+0.10%), NVDA(+0.08%)",SYMMETRIC,1
2022-11-07,1633.8315421617865,0.0522949906076114,1349.3699951171875,-0.052175765126999285,1904.1493409954223,-0.0026093056666492975,69,48,21,"SOXL(+2.46%), TQQQ(+2.08%), BULZ(+0.88%)",SYMMETRIC,1
2022-11-14,1579.6298546421128,-0.0331745875391518,1342.75,-0.0049059895663476905,1831.948143460489,-0.037917822925164546,68,49,19,"SQQQ(+0.16%), AAPL(+0.10%), SOXS(+0.10%)",SYMMETRIC,1
2022-11-21,1589.1054232205267,0.005998600590238,1317.8900146484375,-0.018514232248417417,1808.8167000636208,-0.012626691142672675,66,49,17,"TSLA(+0.34%), NVDA(+0.26%), SOXL(+0.17%)",SYMMETRIC,1
2022-11-28,1634.5950574637736,0.0286259385806238,1303.25,-0.01110867711699215,1839.9270181043885,0.01719926515476855,67,50,17,"TSLA(+1.42%), TQQQ(+0.42%), KOLD(+0.30%)",SYMMETRIC,1
2022-12-05,1558.8616992534362,-0.0463315717642292,1316.6300048828125,0.010266644836226746,1772.6949869415855,-0.03654059672000998,67,50,17,"SQQQ(+0.53%), SOXS(+0.15%), LABD(+0.06%)",SYMMETRIC,1
2022-12-12,1704.7989049135954,0.0936178018422357,1317.0999755859375,0.00035694971357336236,1939.3427958017858,0.09400816840336201,69,50,19,"COSM(+15.66%), SOXS(+0.30%), SQQQ(+0.29%)",SYMMETRIC,1
2022-12-19,1595.2628268606056,-0.0642516121621636,1290.199951171875,-0.020423676951398795,1777.6732945486042,-0.08336303494315578,69,50,19,"KOLD(+0.38%), SOXS(+0.37%), SQQQ(+0.24%)",SYMMETRIC,1
2022-12-26,1586.3849804780978,-0.0055651308568249,1260.260009765625,-0.023205660005688133,1726.7578012041329,-0.028641648327962344,70,50,20,"KOLD(+0.15%), SQQQ(+0.05%), LABU(+0.04%)",SYMMETRIC,1
2023-01-02,1577.1448842873851,-0.0058246241009719,1274.1800537109375,0.011045374634954364,1735.6616816855164,0.005156415378679391,69,50,19,"SOXL(+0.62%), KOLD(+0.25%), TMF(+0.18%)",SYMMETRIC,1
