isin,ticker,event_date,event_type,ratio,old_ticker,new_ticker,note,Unnamed: 8
US12648L6011,CTIC,2023-03-01,DELISTED,,,,CTI BioPharma acquired by Swedish Sobi 2023. Process last valid Return Price,
US23292E1082,DIDI,2022-06-01,DELISTED,,,,DiDi Global voluntarily delisted from NYSE under Chinese regulator pressure. 2022-06-02. Process last valid Return Price,
US25400Q1058,DWAC,2024-03-25,TICKER_CHANGE,,DWAC,DJT,Digital World Acquisition Corp became Trump Media Technology Group. Ticker changed to DJT from 2024-03-26. Connect to DJT data or remove after event date,
US17325E3099,DWTX,,,NO_DATA,,,,No data. Small stock. Use custody data period only then remove
US81362J2096,EYES,2022-06-01,DELISTED,,,,Second Sight Medical Products Nasdaq delisted. Persistent low price. Process last valid Return Price,
US3168411052,FIGM,,,NO_DATA,,,,No data. Small stock. Use custody data period only then remove
US33616C1009,FRC,2023-05-01,DELISTED,,,,First Republic Bank seized by FDIC and sold to JPMorgan Chase 2023-05-01. Stock value effectively $0. Process last valid Return Price,
US13803R1023,GOEV,2024-01-01,DELISTED,,,,Canoo Inc Nasdaq delisted 2024 bankruptcy. Process last valid Return Price,
US4448632038,HGEN,2023-01-01,DELISTED,,,,Humanigen Nasdaq delisted after FDA rejection and bankruptcy. Process last valid Return Price,
US42237K3005,HTBX,2023-06-01,DELISTED,,,,Heat Biologics Nasdaq delisted. Process last valid Return Price,
KYG8252P1054,IPOE,2021-10-22,TICKER_CHANGE,,IPOE,SOFI,Social Capital Hedosophia Holdings VI merged into SoFi Technologies. Merger completed 2021-05-28. Connect to SOFI data,
US88636W6509,IRNU,,,NO_DATA,,,,No data. Small stock. Use custody data period only then remove
US5504241051,LAZR,2023-02-10,MERGER_STOCK,,LAZR,OUST,Velodyne Lidar merged with Ouster. Completed 2023-02-10. Connect to OUST data or remove after merger date,
US5391831030,LVGO,2020-10-30,MERGER_STOCK,,LVGO,TDOC,Livongo Health merged into Teladoc Health. Completed 2020-10-30. Connect to TDOC data,
US56804T2050,MRIN,2022-06-01,DELISTED,,,,Marin Software Nasdaq delisted. Persistent low price. Process last valid Return Price,
US62526P1093,MULN,2024-01-01,DELISTED,,,,Mullen Automotive Nasdaq delisted. Financial deterioration. Process last valid Return Price,
AU0000069130,NAKD,2022-01-01,DELISTED,,,,Naked Brand Group delisted or restructured. Process last valid Return Price,
US6541101050,NKLA,2024-06-01,DELISTED,,,,Nikola Corporation Nasdaq delisted after bankruptcy filing June 2024. Process last valid Return Price,
US26923N8193,NVDT,,,NO_DATA,,,,No data. Small derivative product. Use custody data period only then remove
