date,rate
2022-07-29,1303.285
2022-08-01,1307.745
2022-08-02,1313.05
2022-08-03,1308.32
2022-08-04,1303.03
2022-08-05,1303.69
2022-08-08,1300.11
2022-08-09,1307.64
2022-08-10,1297.53
2022-08-11,1305.49
2022-08-12,1302.32
2022-08-15,1312.0
2022-08-16,1311.4
2022-08-17,1315.25
2022-08-18,1327.23
2022-08-19,1335.735
2022-08-22,1343.73
2022-08-23,1339.535
2022-08-24,1340.96
2022-08-25,1334.965
2022-08-26,1342.18
2022-08-29,1345.98
2022-08-30,1350.55
2022-08-31,1341.755
2022-09-01,1356.92
2022-09-02,1362.505
2022-09-05,1370.71
2022-09-06,1378.515
2022-09-07,1377.32
2022-09-08,1384.88
2022-09-09,1380.06
2022-09-12,1375.19
2022-09-13,1395.24
2022-09-14,1391.435
2022-09-15,1398.76
2022-09-16,1386.225
2022-09-19,1390.33
2022-09-20,1392.91
2022-09-21,1397.725
2022-09-22,1404.99
2022-09-23,1422.805
2022-09-26,1430.615
2022-09-27,1426.67
2022-09-28,1424.92
2022-09-29,1430.42
2022-09-30,1440.23
2022-10-03,1433.9
2022-10-04,1416.11
2022-10-05,1417.05
2022-10-06,1408.62
2022-10-07,1424.99
2022-10-10,1429.08
2022-10-11,1431.815
2022-10-12,1424.9
2022-10-13,1431.68
2022-10-14,1441.76
2022-10-17,1432.02
2022-10-18,1425.335
2022-10-19,1435.165
2022-10-20,1430.585
2022-10-21,1429.11
2022-10-24,1444.94
2022-10-25,1427.255
2022-10-26,1412.855
2022-10-27,1421.67
2022-10-28,1422.0
2022-10-31,1427.03
2022-11-01,1417.08
2022-11-02,1413.825
2022-11-03,1424.06
2022-11-04,1404.11
2022-11-07,1393.43
2022-11-08,1375.08
2022-11-09,1371.18
2022-11-10,1350.14
2022-11-11,1314.13
2022-11-14,1324.265
2022-11-15,1316.565
2022-11-16,1337.0
2022-11-17,1342.99
2022-11-18,1340.03
2022-11-21,1359.61
2022-11-22,1353.01
2022-11-23,1337.09
2022-11-24,1328.08
2022-11-25,1335.56
2022-11-28,1341.215
2022-11-29,1325.67
2022-11-30,1301.7
2022-12-01,1304.555
2022-12-02,1298.35
2022-12-05,1305.73
2022-12-06,1320.13
2022-12-07,1314.765
2022-12-08,1316.82
